"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Newport FC Copa G02",157,0.11,0.1,15,"WA","G02","NPSL G12D3","","","Founders Cup G02"
"RPSC River G03",154,0.14,0.08,17,"OR","G03","OPL 2nd Div U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Silver U11"
"FC Spokane Grey G03",150,0.18,0.06,26,"WA","G03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 3 U11",""
"KVJSA Ellensburg FC G02",147,0.12,0.09,10,"WA","G02","PSPL-Inland Div 2 U12","","",""
"Sawtooth United FC G02",143,0.09,0.12,15,"ID","G02","Idaho D3 B U12","","Spr Idaho D3 U12 Bracket B WEST U12",""
"Sawtooth United FC G03",142,0.11,0.1,16,"ID","G03","Idaho D3 B U11","","Spr Idaho D3 U11 Bracket B WEST U11",""
"Mukilteo Rush Nero G02",140,0.09,0.11,25,"WA","G02","NPSL G12D3","","","Founders Cup G02"
"Emerald City FC Green G02",124,0.14,0.07,26,"WA","G02","PSPL Copa U12","","Spr PSPL Copa U12","WA Cup GU12 Silver/Bronze U12"
"MpVSA Avalanche G03",116,0.09,0.1,8,"WA","G03","DIII G11D1","","",""
"Fuerza FC Academy B G04",115,0.16,0.05,20,"WA","G04","PSPL Copa U11","","Spr PSPL Copa U11",""
"Sabers Cargile G03",112,0.14,0.06,21,"WA","G03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 3 U11",""
"Seattle Celtic Orange G03",109,0.14,0.06,20,"WA","G03","PSPL Copa U11","","Spr PSPL Copa U11",""
"NPSA Titans Navy G03",107,0.13,0.06,11,"WA","G03","","","Spr PSPL Copa U11","WA Cup GU11 Silver/Bronze U11"
"Pullman Pumas G03",106,0.13,0.06,15,"WA","G03","NWL Group C U11","","Spr PSPL-Inland Div 2 U11",""
"Breakers Red G02",105,0.12,0.07,20,"WA","G02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 3 U12",""
"SSC Shadow United Dickson G03",102,0.14,0.06,17,"WA","G03","NWL Group C U11","","Spr NWL Group B U11",""
"ASE Navy G03",94,0.11,0.07,18,"WA","G03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 3 U11",""
"Breakers Wilson G03",94,0.14,0.05,19,"WA","G03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 3 U11",""
"West Seattle En Fuego White G04",93,0.12,0.06,8,"WA","G04","","","Spr PSPL Copa U11",""
"Storm King G03",81,0.1,0.07,12,"WA","G03","NPSL G11D2","","",""
"FWFC Team Scream G03",81,0.09,0.08,8,"WA","G03","DIII G11D1","","",""
"MIFC Hurricane G01",72,0.05,0.12,21,"WA","G01","NPSL G13D3","","Spr NPSL G13D3",""
"CB United Ephrata G03",68,0.1,0.06,10,"WA","G03","PSPL-Inl Dev Div 2 U11","","",""
"West Seattle En Fuego White G03",66,0.12,0.05,12,"WA","G03","PSPL Copa U11","","",""
"Canada Cosmos 2004G",54,0.08,0.07,14,"","2004G","Idaho D3 B U11","","Spr Idaho D3 U11 Bracket B WEST U11",""
"MIFC Storm G03",42,0.11,0.05,20,"WA","G03","NPSL G11D3","","Spr NPSL G11D2",""
"BSC Portland Vapor G03",12,0.07,0.06,16,"OR","G03","PTT-B G03 Thorns Div 1 (9v9)","","Spr OYS G03 Div 2",""
"SSC Shadow Elite Schmitt G03",4,0.11,0.04,19,"WA","G03","NWL Group C U11","","Spr NWL Group B U11",""
"Cobra Othello Chaos G02",-7,0.07,0.05,10,"WA","G02","PSPL-Inland Div 2 U12","","",""
"Seattle Celtic Orange G02",-96,0.03,0.08,16,"WA","G02","PSPL Copa U12","","",""
"BSC Newberg Vapor G02",-112,0.03,0.06,17,"OR","G02","PTT-B G02 Thorns Div 1","","Spr OYS G02 Div 2",""
"Lakeland Nighthawks G03",-158,0.07,0.02,12,"ID","G03","NWL Group C U11","","Spr NWL Group B U11",""
"Seattle Celtic Black G03",-196,0.03,0.04,26,"WA","G03","PSPL Copa U11","","Spr PSPL Copa U11",""
