"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Breakers Red B01",477,0.57,0.19,21,"WA","B01","PSPL-Inland Div 2 U13","","Spr PSPL-Inland Div 2 U13",""
"KYSA Real Kent B03",476,0.32,0.33,9,"WA","B03","","","",""
"Crossfire Oregon LOSC Green B03",476,0.59,0.18,39,"OR","B03","OPL Premier U11","","Spr OPL Mt Hood Div U11","OPL State Cup U11, Directors Cup OPL Gold U11"
"South Whidbey Islanders B01",476,0.44,0.24,21,"WA","B01","NPSL B13D3","","Spr NPSL B13D2",""
"FC Spokane Black B02",472,0.38,0.27,32,"WA","B02","PSPL-Inland Div 1 U12","","Spr PSPL-Inland Div 1 U12",""
"Ashland SC Shockwave B02",472,0.45,0.23,18,"OR","B02","PTT-B B02 Championship","","",""
"3 Rivers White B02",471,0.37,0.28,20,"WA","B02","NWL BU12","","Spr NWL BU12",""
"Sting SC Leeds United B02",471,0.44,0.23,25,"ID","B02","PSPL-Inland Div 1 U12","","Spr NWL BU12","WA Cup BU12 Gold/Platinum U12"
"PCU Black B01",468,0.4,0.25,29,"OR","B01","PTT-B B01 Timbers Div 2","","Spr OYS B01 Div 2",""
"Seattle United NE Blue B02",467,0.34,0.3,28,"WA","B02","NPSL B12D1","","Spr NPSL B12D2","Founders Cup B02"
"HSC United B03",467,0.36,0.28,33,"OR","B03","PTT B03 Premier","","Spr OYS B03 Premier Green","OYS State Cup B03"
"Boise Nationals Barcelona White B03",467,0.66,0.15,22,"ID","B03","Idaho D3 B U11","","Spr Idaho D3 A U11",""
"Kitsap Alliance FC Red B03",466,0.47,0.21,36,"WA","B03","RCL B03 Div 2","","Win RCL B03 Div 2","WYS Presidents Cup B03 Div 2"
"Crossfire Premier B B04",464,0.27,0.37,12,"WA","B04","","","",""
"NW United Classic B02",462,0.5,0.19,30,"WA","B02","PSPL Classic 2 U12","","Spr PSPL Classic 1 U12",""
"NEU Barca Blue B02",462,0.49,0.2,34,"OR","B02","PTT-B B02 Championship","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"ETFC Ajax Black -was Blue B03",460,0.39,0.24,40,"OR","B03","PTT B03 Premier","","Spr OYS B03 Premier Green","OYS State Cup B03"
"Silver Lake Bombers B02",459,0.38,0.25,17,"WA","B02","NPSL B12D3","","","WYS Rec Cup U12"
"Washington Timbers Green B03",458,0.49,0.19,32,"WA","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Premier White","OYS Presidents Cup B03"
"WPFC Fury Black B03",455,0.49,0.19,36,"WA","B03","PSPL Classic 1 U11","","Spr PSPL SuperLeague 2 U11","WA Cup BU11 Gold/Platinum U11"
"Washington Timbers Burgundy B02",452,0.39,0.23,33,"WA","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 Green","Founders Cup B02"
"River Plate SC River B03",451,0.6,0.15,30,"OR","B03","OPL Premier U11","","Spr OPL Mt Hood Div U11","OPL State Cup U11"
"FC Nova White B02",450,0.41,0.22,19,"ID","B02","Idaho D3 B U12","","Spr Idaho D3 B U12",""
"Kent City Red B03",447,0.48,0.18,45,"WA","B03","PSPL Premier U11","","Spr PSPL SuperLeague U11","WA Cup BU11 Gold/Platinum U11"
"Westside Timbers Mundial B02",447,0.4,0.22,31,"OR","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"HSA Blue Thunder B01",446,0.34,0.26,8,"WA","B01","","","",""
"Idaho Rush Black B02",445,0.53,0.16,19,"ID","B02","Idaho D3 A U12","","Spr Idaho D3 A U12",""
"FC Nova White B03",444,0.44,0.19,17,"ID","B03","Idaho D3 B U11","","Spr Idaho D3 B U11",""
"Emerald City FC Green B03",444,0.58,0.15,32,"WA","B03","PSPL Classic 1 U11","","Spr PSPL SuperLeague 2 U11","WA Cup BU11 Gold/Platinum U11"
"WPFC Fury White B02",443,0.53,0.16,35,"WA","B02","PSPL Classic 2 U12","","Spr PSPL Classic 2 U12","WA Cup BU12 Silver/Bronze U12"
"UR United B03",443,0.42,0.2,9,"OR","B03","","","",""
"Idaho Inferno B02",441,0.31,0.26,16,"ID","B02","Idaho D3 B U12","","Spr Idaho D3 B U12",""
"BSC Portland Gold-Tiempo B02",433,0.36,0.22,24,"OR","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"Seattle United S White B02",432,0.32,0.24,21,"WA","B02","NPSL B12D2","","","Founders Cup B02"
"Normandy Park FC White B03",428,0.3,0.25,21,"WA","B03","PSPL Premier U11","","",""
"FC West Santos Jrs B03",428,0.51,0.15,26,"OR","B03","OPL 1st Div - BLACK U11","","Spr OPL Mt Hood Div U11","OPL State Cup U11, Directors Cup OPL Gold U11"
"Sting SC Barcelona B03",427,0.45,0.17,29,"ID","B03","NWL Group A U11","","Spr NWL Group A U11","WA Cup BU11 Silver/Bronze U11"
"NSC Nitro B03",425,0.38,0.2,32,"WA","B03","NPSL B11D2","","","Founders Cup B03"
"PCU Red B B03",425,0.44,0.17,14,"OR","B03","PTT-B B03 Championship (9v9)","","","OYS Presidents Cup B03"
"MYSA Gale Force B02",423,0.39,0.19,19,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 White","OYS Presidents Cup B02"
"Westside Timbers Copa TS B03",422,0.37,0.2,33,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Div 1","OYS Presidents Cup B03"
"NEU PDX White B03",422,0.49,0.15,35,"OR","B03","OPL Premier U11","","Spr OYS B03 Premier White","OYS State Cup B03"
"Crossfire Oregon LOSC Kubri Black B02",421,0.43,0.17,30,"OR","B02","OPL 2nd Div U12","","Spr OPL Crater Lake Div U12","Directors Cup OPL Silver U12"
"TC United Blue B03",419,0.32,0.22,31,"WA","B03","DIII B11D1","","Spr PSPL Classic 3 U11","Founders Cup B03"
"South Tacoma United Zuniga B03",419,0.37,0.19,19,"WA","B03","DIII B11D1","","","WYS Presidents Cup B03 Div 3"
"Crossfire Select Pombo B03",418,0.42,0.17,36,"WA","B03","NPSL B11D1","","Spr NPSL B11D1","Founders Cup B03"
"SSC Shadow Brown B03",418,0.48,0.15,22,"WA","B03","NWL Group A U11","","Spr NWL Group A U11",""
"Breakers White B02",416,0.29,0.24,26,"WA","B02","PSPL-Inland Div 1 U12","","Spr PSPL-Inland Div 1 U12",""
