"team","total","attack","defense","n.games","region","age","fall.league","other"
"West Coast Soccer Academy LSA G01",895,0.91,2.12,24,"CAS","G01","CalS CSL Silver",""
"Poway Vaqueros White G01",894,1.35,1.43,36,"CAS","G01","Presidio AA-B",""
"Utah Surf Premier G01",894,2.28,0.84,22,"UT","G01","Utah A",""
"Sagebrush Patriots G01",893,1.9,1.01,44,"NV","G01","GBYSL",""
"Aggies FC 02 Blue G01",892,1.32,1.43,29,"UT","G01","Utah D2",""
"Heat FC 01 NS G00",891,1.46,1.29,8,"NV","G00","",""
"Vacaville United SC Xtreme G01",891,1.88,1,45,"CAN","G01","NorCal Gold",""
"SSA Elite G01",890,2.07,0.9,31,"CAN","G01","NorCal Silver",""
"Liverpool Premier Trask G01",890,1.9,0.98,42,"CAS","G01","Presidio AA-B",""
"Newport Mesa Waves G01",889,1.12,1.66,29,"CAS","G01","CalSouth DSL2",""
"Pacific SC Lake Forest Thunder G01",889,1.73,1.07,34,"CAS","G01","CalS CSL Bronze",""
"Kenai Peninsula SC Krushers G01",888,1.6,1.15,11,"AK","G01","",""
"Mustang Blaze G01",888,1.29,1.42,31,"CAN","G01","NorCal Silver",""
"Fraser Valley FC 2002G",887,1.02,1.79,24,"BC","2002G","BCSPL",""
"Durango United Lightning G01",887,1.83,0.99,32,"CO","G01","CO SWL",""
"Canyon United Blue G01",885,1.56,1.16,29,"CAS","G01","CalSouth Signature",""
"AC Brea G01",884,1.26,1.42,41,"CAS","G01","CalS CSL Bronze",""
"Wasilla Valley Revolution G01",884,2.72,0.66,28,"AK","G01","UAYSL",""
"Rock Springs Avengers G01",883,1.53,1.17,12,"WY","G01","WY League",""
"East Bay Eclipse Lunar G01",883,1.63,1.09,16,"CAN","G01","",""
"FC Nova Pink G02",883,1.71,1.04,8,"ID","G02","",""
"Northern Colorado SC Girls Boots Blue G01",882,1.53,1.15,18,"CO","G01","CO Classic 2",""
"Scripps Ranch SC Red G01",882,1.42,1.24,30,"CAS","G01","Presidio AA-B",""
"FC Spokane Black Swoboda G01",880,1.01,1.71,30,"WA","G01","PSPL INW Copa 1",""
"Fair Oaks SC Storm G01",879,1.22,1.42,28,"CAN","G01","CalNorth CCSL Copper",""
"En Fuego FC Red G01",879,1.69,1.03,46,"WA","G01","PSPL Classic 1",""
"Canby United Volts G01",879,1.4,1.23,27,"OR","G01","OPL 1st",""
"Natomas United FC Kick Kats G01",878,1.92,0.89,46,"CAN","G01","CalNorth CCSL Bronze",""
"Sand and Surf El Segundo Black G01",877,1.12,1.52,24,"CAS","G01","CalSouth DSL3",""
"Sierra United Lightning G01",876,1.53,1.11,23,"CAN","G01","CalNorth CCSL Silver Elite",""
"LA Galaxy CV White G01",876,1.18,1.43,33,"CAS","G01","CalS CSL Bronze",""
"FC Long Beach Blue G01",874,1.18,1.42,33,"CAS","G01","CalS CSL Bronze",""
"Sagebrush Patriots G02",874,1.85,0.91,8,"NV","G02","",""
"Washington Timbers Forest G01",874,1.5,1.11,75,"WA","G01","Thorns Div 1",""
"Ventura County Fusion YSA Camarillo G01",873,0.94,1.77,21,"CAS","G01","CalS CSL Bronze",""
"Hisperia Missioneros G01",873,1.72,0.96,34,"CAS","G01","CalS CSL Bronze",""
"CVSC Avengers G01",871,1.44,1.14,23,"CAS","G01","CalS CSL Bronze",""
"Sporting Carson Valley G01",871,1.17,1.4,30,"NV","G01","GBYSL",""
"Loomis Sao Paulo Warriors G01",870,2.01,0.81,11,"CAN","G01","",""
"New Mexico Rush Rush G01",869,1.26,1.28,31,"NM","G01","Duke City League 1",""
"Missoula Strikers Black G01",869,1.58,1.02,27,"MT","G01","MYSA Select",""
"SF Vikings Ravens White G01",868,1.85,0.87,36,"CAN","G01","CalNorth CCSL Gold",""
"Santa Barbara SC Red G01",868,1.48,1.08,33,"CAS","G01","CalS CSL Bronze",""
"Granada United FC G01",868,1.18,1.36,20,"CAS","G01","CalS CSL Silver",""
"Orange County Premier Orange G01",868,1.44,1.11,38,"CAS","G01","CalS CSL Bronze",""
"AYSO Region 58 VNSO Express G01",866,1.54,1.02,20,"CAS","G01","CalS CSL Bronze",""
"Sunnyvale Alliance SC Blast White G01",866,1.12,1.41,30,"CAN","G01","CalNorth CCSL Gold",""
"Outlaw FC G01",863,0.94,1.65,27,"CAS","G01","CalSouth Signature",""
"Steamboat Springs Navy G01",862,1.31,1.17,30,"CO","G01","CO Challenge Metro South",""
